第１位　天秤座 ##### 　口説き上手ナンバーワンは、なんといっても天秤座！生まれつき異性に対してスマートに接する能力を持っているので、ガツガツし過ぎたり臆病になったりすることなく、自然な感じで口説けちゃいます。まさにそれは天性の才能！そのスムーズで洗練された口説き方には誰もが脱帽してしまうはず。でも火星が天秤座の人は、自分では口説いているという自覚がありません。なのに相手はコロッと落ちちゃうんだから、これはまさに神業でしょう。
第２位　射手座 ##### 　常に恋のハンターである射手座は、子供の頃から異性と接することには自然に慣れて育つはず。だから次第に腕を磨いて、口説き上手になっていきます。今まで側にいなかったタイプの異性が新たに現れると、つい関心を持って近づいてしまうので、まさにオールラウンドプレイヤーに育ち、タイプ別の口説き方を身につけます。天秤座が生まれつきの口説き上手だとしたら、射手座は年を重ねる事に口説き上手になる性質。年輩になってくると、１位の天秤座も抜かしてしまうかも？！　
第３位　蟹座 ##### 　相手の感情を敏感に察知する能力と、積極性を活かして、口説き上手３位にランクインしてきたのが蟹座。普通は「人見知り」しがちな蟹座ですが、自分が狙いを定めた相手に対しては、どんどん積極的になれるから不思議。そして、異性の様子をしっかりチェックしながら、相手のペースに合わせて気を使って押さえ気味にしたり、時には大胆に誘いを持ちかけたりなど、押したり引いたりの駆け引きも上手。かなりの口説きテクニシャンと言えるでしょう。
第４位　双子座 ##### 　自然体でちょっと気になる相手には速攻アタックが第４位の双子座の特徴。とにかく数撃ちゃ当たる方式で、少しでもいいなと思う相手なら、まずは口説いてみたくなるのが火星双子座の特性なので、口説いた経験数でいえば、ナンバーワンになれるかも。ただ、口説き「上手」という観点から見ると、惜しくも第４位になってしまいました。なにしろ上手下手にはお構いなく、なんの気負いもなく口説けるところが双子座のすごいところなんですから。
第５位　魚座 ##### 　サービス精神旺盛の魚座も口説き上手と言っていいでしょう。好きになった相手には、身も心も捧げて尽くしたくなるのが火星魚座の人。ただし、それはあくまで口説いている間だけなので、「釣った魚に餌はやらない」タイプとも言えます。だから口説かれる側はご用心。「なんて素敵な人。こんなに自分のために色々してくれるなんて！」と、感動してつき合い出すと、その期待を裏切られるかも。釣ってからも餌をあげるのは太陽魚座の人ですからね。
第６位　獅子座 ##### 　自分を演出することに長けている獅子座は、なかなかの魅力を発揮して口説くことが出来ます。ただ、少しナルシスティックになってしまうので、相手を口説いていても、そんな自分に酔ってしまう傾向が。だから、実は全然相手にされていないのに気づかず口説き続けたり、相手によっては「自信過剰なヤツ」と思われてしまうだけのこともあるでしょう。それでもウブな異性だったら、十分獅子座の口説きにハマってしまえるから、第６位にランクイン。
第７位　牡羊座 ##### 　牡羊座の口説き方は、まさに突撃！といった雰囲気。好きになったら何も考えず、自然に相手を口説き始めているのが特徴です。その素早さはピカイチだけど、とにかく突撃が命の牡羊座には、作戦もなければ、相手に合わせる順応性もないので、口説き上手とは呼べないかも。それでもその情熱的で、まっすぐな口説き方に感動する相手がいないわけではないので、ランキングとしては真ん中辺りに落ちつくのが妥当かなといったところ。
第８位　山羊座 ##### 　第７位の牡羊座とは正反対なのが山羊座。気に入った相手を速攻口説き落とすなんて行動に走ることはまずなくて、好きな相手を見つけると即座に長期的な作戦を立て始めます。なにしろ無駄な動きはしないのが火星山羊座の特性なので、口説いても落とせなさそうと判断したら、決して無茶はしません。ある意味それは口説き上手とも言えるのかもしれないけれど、何しろそんなことしてるうちに、素早い蟹座、双子座辺りに取られてしまう可能性大。残念ながら８位止まりです。
第９位　蠍座 ##### 　蠍座の魅力はなんといっても、かもし出す雰囲気。黙っていても異性を惹きつけるフェロモンとでも呼ぶべき何かが備わっています。つまりは火星蠍座の人にとって、口説く必要というのはあまりないのです。それよりも自然に相手を招き寄せるのが得意なので、自ら口説きに走ることは滅多にしないでしょう。だから決して口説き上手とは呼べないけれど、蠍座の場合は、口説けないのではなく、口説く必要がないのかも。これまた違った意味で羨ましい限りですね。
第１０位　牡牛座 ##### 　牡牛座が強いのは持久戦。どんなに無理目な相手であっても、じっくり攻めることで、時間をかけて落とすことが可能です。でもそんな牡牛座の良さが発揮されるのは、時間がたっぷりあってのこと。「口説く」というより「粘る」といった感じなので、口説き上手とは呼べません。それに出会った最初から、自分をアプローチするのも苦手。まずは相手の観察から入るので、どちらかというと相手の反応を待つタイプと言っていいでしょう。まあ、恋の形は様々。口説けばいいってものじゃありませんよね。
第１１位　乙女座 ##### 　細かいところまでよく気が利き、相手の喜ぶことを察知して動ける乙女座は、口説き上手になれそうなものなのに、口説くということに対しては、まずダメなタイプ。そもそも火星が乙女座の人は、なかなか自分から人を好きになってアタックしようという気になりません。どちらかというと、誰を見ても、なんらかの欠点が目について、なかなか恋にのめり込めないタイプと言えます。異性を口説くなんて、自分を安売りしているみたいなものと考えているのかも。
第１２位　水瓶座 ##### 　口説き上手ワーストワンは水瓶座。つまりは口説きベタナンバーワンということです。そもそも火星水瓶座の人に、口説くという言葉は不似合い。異性を何とかして落とそうという意識がかけています。自然に仲良くなればそれでいいし、そうならない相手とは縁がないものと考えるので、わざわざ口説きにかかることをバカにしているのかも。異性を賢明に口説いている人を見かけると、「よくそこまでやるよな」と内心思っているに違いありません。
